,rsi_adx_atr,Buy & Hold
Start,2014-01-01 00:00:00+00:00,2014-01-01 00:00:00+00:00
End,2026-02-11 17:00:00+00:00,2026-02-11 17:00:00+00:00
Total Return [%],122514.22286377319,8941.137830280888
Annualized Return [%],79.87,45.04
Max Drawdown [%],17.559459545342808,83.90598442375503
Sharpe Ratio,3.085095695447309,0.7950877060031301
Sortino Ratio,5.810996991411546,1.376478809138149
Calmar Ratio,4.714744504380108,0.5544956974336684
Win Rate [%],58.92566467715681,
Profit Factor,2.5211767249000916,
Total Trades,1844,1
Avg Winning Trade [%],1.1066573556478436,
Avg Losing Trade [%],-0.6197302530445639,
Max Drawdown Duration,435 days 20:00:00,1082 days 15:00:00
Expectancy,6723.4290062304835,
Alpha [%],113573.0850334923,0.0
