,0
Total Trades,1843
Winning Trades,1086
Losing Trades,757
Win Rate [%],58.9
Avg Trade PnL,6723.43
Avg Trade Return [%],0.4
Best Trade [%],16.37
Worst Trade [%],-12.91
Avg Win [%],1.11
Avg Loss [%],-0.62
Largest Win,399781.11
Largest Loss,-155473.37
Avg Duration,0 days 05:48:55
Max Consecutive Wins,14
Max Consecutive Losses,14
