,0
Total Trades,2084
Winning Trades,1089
Losing Trades,995
Win Rate [%],52.3
Avg Trade PnL,183.11
Avg Trade Return [%],0.18
Best Trade [%],8.76
Worst Trade [%],-5.32
Avg Win [%],0.97
Avg Loss [%],-0.69
Largest Win,11785.55
Largest Loss,-7785.28
Avg Duration,0 days 08:25:04
Max Consecutive Wins,15
Max Consecutive Losses,15
