,0
Total Trades,510
Winning Trades,325
Losing Trades,185
Win Rate [%],63.7
Avg Trade PnL,135.83
Avg Trade Return [%],0.42
Best Trade [%],6.39
Worst Trade [%],-7.3
Avg Win [%],1.17
Avg Loss [%],-0.91
Largest Win,2982.69
Largest Loss,-1979.91
Avg Duration,0 days 12:32:28
Max Consecutive Wins,24
Max Consecutive Losses,5
