create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-03-18 00:05:00,SOLUSDT,6589799.0,840594760.44,3.91678366,2.113667,3.77783712,0.815499
2025-03-18 00:10:00,SOLUSDT,6586801.0,840215525.1525161,3.9192396,2.119086,3.78653487,0.940427
2025-03-18 00:15:00,SOLUSDT,6589586.0,840238110.86,3.92480818,2.118199,3.77562105,0.763936
2025-03-18 00:20:00,SOLUSDT,6591582.0,841283610.66,3.92725646,2.117584,3.77874689,1.140429
2025-03-18 00:25:00,SOLUSDT,6589957.0,841890566.8347685,3.92098545,2.116858,3.76979759,1.413457
2025-03-18 00:30:00,SOLUSDT,6592464.0,838948906.7816991,3.94032527,2.119567,3.79757121,0.525376
2025-03-18 00:35:00,SOLUSDT,6589259.0,838549100.34,3.9576413,2.128614,3.80579736,1.001773
2025-03-18 00:40:00,SOLUSDT,6591592.0,838097035.727499,3.95396683,2.12927,3.80433808,0.945941
2025-03-18 00:45:00,SOLUSDT,6588053.0,835628642.52,3.97532619,2.131468,3.82204229,0.630531
2025-03-18 00:50:00,SOLUSDT,6601552.0,835707642.0136211,3.97777203,2.140043,3.81704688,1.296454
2025-03-18 00:55:00,SOLUSDT,6615135.0,835756155.9,4.13750504,2.124646,3.95103141,0.951708
2025-03-18 01:00:00,SOLUSDT,6631751.0,838850183.99,4.14903911,2.113967,3.96863658,1.390165
2025-03-18 01:05:00,SOLUSDT,6641885.0,841311443.331534,4.15994624,2.116253,3.98538991,0.965722
2025-03-18 01:10:00,SOLUSDT,6642066.0,838494411.84,4.15225841,2.114678,3.97736759,0.776973
2025-03-18 01:15:00,SOLUSDT,6648640.0,838459990.4,4.1810217,2.119015,4.00401344,0.778459
2025-03-18 01:20:00,SOLUSDT,6653293.0,836917726.47,4.21797996,2.114905,4.04163143,0.947143
2025-03-18 01:25:00,SOLUSDT,6651761.0,834396899.84,4.21282051,2.108145,4.04181903,0.835385
2025-03-18 01:30:00,SOLUSDT,6653657.0,839247498.4338573,4.22019711,2.106719,4.05953052,1.513517
2025-03-18 01:35:00,SOLUSDT,6672913.0,838718434.97,4.22907667,2.101814,4.08334117,0.686115
2025-03-18 01:40:00,SOLUSDT,6685061.0,839309408.55,4.24260435,2.103762,4.09401147,1.32421
2025-03-18 01:45:00,SOLUSDT,6682248.0,835834104.2342607,4.26950838,2.090319,4.11172493,0.564607
2025-03-18 01:50:00,SOLUSDT,6705205.0,837547156.55,4.27503737,2.09015,4.10542768,0.746198
2025-03-18 01:55:00,SOLUSDT,6724576.0,840434857.652141,3.97147185,2.073769,3.88605778,0.643044
2025-03-18 02:00:00,SOLUSDT,6732133.0,842161398.3368201,4.01236749,2.073624,3.9066047,1.846578
2025-03-18 02:05:00,SOLUSDT,6734060.0,843331703.7649846,4.02699294,2.066127,3.93181818,1.719502
2025-03-18 02:10:00,SOLUSDT,6736025.0,842811448.0,4.04152467,2.069388,3.95422377,1.274086
2025-03-18 02:15:00,SOLUSDT,6732624.0,843732439.68,4.01680251,2.087385,3.93003823,2.07899
