create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-05-30 00:05:00,SOLUSDT,4667661.0,788643334.899,3.44634146,2.415156,3.45644046,1.808268
2024-05-30 00:10:00,SOLUSDT,4671840.0,789905363.52,3.42959257,2.415825,3.4394857,1.229868
2024-05-30 00:15:00,SOLUSDT,4671732.0,789102252.12,3.43982808,2.416248,3.4567982,1.097965
2024-05-30 00:20:00,SOLUSDT,4670917.0,789884761.119,3.43590844,2.414332,3.45355242,1.314862
2024-05-30 00:25:00,SOLUSDT,4671353.0,789813679.828,3.44686649,2.412098,3.46819672,0.850583
2024-05-30 00:30:00,SOLUSDT,4667267.0,788159282.0803723,3.44763271,2.412446,3.46973388,0.733136
2024-05-30 00:35:00,SOLUSDT,4667968.0,786940049.344,3.4493689,2.415189,3.46524464,1.16423
2024-05-30 00:40:00,SOLUSDT,4672299.0,788244823.698711,3.43807208,2.415656,3.45804163,1.397757
2024-05-30 00:45:00,SOLUSDT,4673393.0,788947789.0762646,3.4331001,2.414364,3.45363035,1.59318
2024-05-30 00:50:00,SOLUSDT,4671910.0,787875574.31,3.44425361,2.412695,3.46339869,0.548495
2024-05-30 00:55:00,SOLUSDT,4670186.0,785002648.3274851,3.47874333,2.409725,3.48290398,0.465589
2024-05-30 01:00:00,SOLUSDT,4677916.0,786494403.95124,3.452398,2.404427,3.46057164,1.582707
2024-05-30 01:05:00,SOLUSDT,4671808.0,785408625.1894221,3.39542438,2.431883,3.41070443,1.649758
2024-05-30 01:10:00,SOLUSDT,4670547.0,785245142.2477634,3.40696686,2.429487,3.42309111,0.861825
2024-05-30 01:15:00,SOLUSDT,4667040.0,786844275.84,3.41224837,2.426105,3.43900407,1.48881
2024-05-30 01:20:00,SOLUSDT,4667584.0,785185648.064,3.41693857,2.425042,3.44640044,0.866403
2024-05-30 01:25:00,SOLUSDT,4670642.0,785387134.868,3.42889647,2.42386,3.45519481,0.857917
2024-05-30 01:30:00,SOLUSDT,4703114.0,791722210.76,3.40727118,2.428415,3.42929572,1.912228
2024-05-30 01:35:00,SOLUSDT,4702604.0,790785186.036,3.42085106,2.425389,3.44341716,0.731577
2024-05-30 01:40:00,SOLUSDT,4702553.0,791999273.707,3.41894767,2.423719,3.44010345,0.912698
2024-05-30 01:45:00,SOLUSDT,4707463.0,792200118.418,3.45700386,2.425173,3.46982799,0.496688
2024-05-30 01:50:00,SOLUSDT,4707799.0,793956177.953,3.44768023,2.418519,3.45488234,1.588921
2024-05-30 01:55:00,SOLUSDT,4704411.0,792970813.749,3.43711722,2.416069,3.45264327,1.641611
2024-05-30 02:00:00,SOLUSDT,4704610.0,792886741.74,3.44268606,2.415047,3.45831017,1.013715
2024-05-30 02:05:00,SOLUSDT,4701451.0,794310658.2969704,3.43322429,2.415633,3.45218276,1.515709
2024-05-30 02:10:00,SOLUSDT,4699596.0,795740294.316,3.40877565,2.426394,3.43125864,1.198541
2024-05-30 02:15:00,SOLUSDT,4702566.0,796299608.478,3.43607631,2.429803,3.45147249,0.608932
2024-05-30 02:20:00,SOLUSDT,4705934.0,799928779.122,3.3793492,2.418179,3.40044045,1.852188
2024-05-30 02:25:01,SOLUSDT,4708547.0,802887844.3962213,3.36899901,2.415964,3.39244213,0.96751
2024-05-30 02:30:00,SOLUSDT,4694890.0,802563276.16,3.3363191,2.41296,3.35547053,1.653182
2024-05-30 02:35:00,SOLUSDT,4688071.0,799399529.5359223,3.35263528,2.418468,3.3493581,0.540248
2024-05-30 02:40:00,SOLUSDT,4687418.0,800376623.5,3.26805537,2.409629,3.35586572,0.877276
2024-05-30 02:45:00,SOLUSDT,4692822.0,799874150.541355,3.25909713,2.402404,3.3355723,0.429085
2024-05-30 02:50:00,SOLUSDT,4692464.0,799367796.1298456,3.25362517,2.402188,3.3293968,0.834879
2024-05-30 02:55:00,SOLUSDT,4694875.0,799997310.25,3.25071731,2.398874,3.33233424,0.872567
2024-05-30 03:00:01,SOLUSDT,4695727.0,798700901.157,3.2531784,2.398484,3.33621238,0.432211
2024-05-30 03:05:00,SOLUSDT,4695821.0,799195863.453,3.25492611,2.397446,3.34508518,0.968444
2024-05-30 03:10:00,SOLUSDT,4697418.0,797311546.812,3.26062517,2.39897,3.34429964,0.46583
2024-05-30 03:15:00,SOLUSDT,4691296.0,795850218.624,3.27505507,2.398441,3.36386955,0.631072
2024-05-30 03:20:00,SOLUSDT,4690376.0,796191326.0,3.26855415,2.400433,3.35778306,1.138571
2024-05-30 03:25:00,SOLUSDT,4692256.0,796716915.264,3.27037801,2.398227,3.35914077,1.147476
2024-05-30 03:30:00,SOLUSDT,4692890.0,797129602.51,3.26103647,2.397019,3.34977211,2.178859
2024-05-30 03:35:00,SOLUSDT,4695256.0,798634878.5714457,3.26337449,2.396378,3.35599562,1.059975
2024-05-30 03:40:00,SOLUSDT,4696491.0,799807720.809,3.26110197,2.393758,3.35993426,1.557277
