create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-25 00:05:00,ETHUSDT,2289004.868,6758584443.40284,3.39855895,2.16925,2.99608698,0.960656
2026-01-25 00:10:00,ETHUSDT,2288729.186,6759456646.62891,3.40261793,2.168641,3.00034174,0.927373
2026-01-25 00:15:00,ETHUSDT,2288594.866,6760417690.36936,3.40361624,2.168978,3.00220896,1.603372
2026-01-25 00:20:00,ETHUSDT,2288122.847,6759115865.6020565,3.40616814,2.169103,3.00470916,1.038276
2026-01-25 00:25:00,ETHUSDT,2287968.468,6757057276.5444,3.40746601,2.169165,3.00650257,0.663893
2026-01-25 00:30:00,ETHUSDT,2287978.498,6755622591.90468,3.40759606,2.168815,3.0041318,0.50609
2026-01-25 00:35:00,ETHUSDT,2287906.299,6756530486.8918495,3.40643694,2.168985,3.00442163,2.220123
2026-01-25 00:40:00,ETHUSDT,2288333.894,6757092104.201731,3.40591172,2.168099,3.00463243,0.818143
2026-01-25 00:45:00,ETHUSDT,2288718.207,6762384137.49462,3.40615887,2.166809,3.00513252,2.101341
2026-01-25 00:50:00,ETHUSDT,2288632.597,6763669664.6647,3.40752646,2.16692,3.00645161,2.41083
2026-01-25 00:55:00,ETHUSDT,2288680.868,6763901384.881669,3.40870641,2.166557,3.00800864,1.222711
2026-01-25 01:00:00,ETHUSDT,2288834.479,6769548408.46956,3.40310231,2.166879,3.004,6.602998
2026-01-25 01:05:00,ETHUSDT,2288675.86,6767362763.6754,3.40133366,2.169196,3.00292082,1.846941
2026-01-25 01:10:00,ETHUSDT,2288711.779,6767537633.56068,3.40046422,2.168709,3.00286782,0.634988
2026-01-25 01:15:00,ETHUSDT,2288303.96,6763814611.0472,3.40774634,2.167672,3.00621412,0.309282
2026-01-25 01:20:00,ETHUSDT,2289817.916,6761791799.252252,3.41290355,2.169848,3.01247198,0.238827
2026-01-25 01:25:00,ETHUSDT,2289824.666,6762592140.880703,3.41339012,2.16924,3.01286784,0.531431
2026-01-25 01:30:00,ETHUSDT,2290170.84,6760034678.6784,3.4153084,2.168208,3.012974,0.613467
2026-01-25 01:35:00,ETHUSDT,2291456.5,6766418984.285,3.40692384,2.170649,3.00457967,2.442213
2026-01-25 01:40:00,ETHUSDT,2292985.713,6762977921.63646,3.42561224,2.165072,3.01822793,0.189618
2026-01-25 01:45:00,ETHUSDT,2293277.682,6765140842.580831,3.42140518,2.165273,3.0159677,0.74828
2026-01-25 01:50:00,ETHUSDT,2292976.869,6772448067.3552685,3.41690211,2.165546,3.01292194,3.232236
2026-01-25 01:55:00,ETHUSDT,2292998.536,6770850856.066881,3.41532058,2.16537,3.01107099,0.613884
2026-01-25 02:00:00,ETHUSDT,2293119.804,6773416182.8930855,3.4146269,2.164673,3.01130852,1.669226
2026-01-25 02:05:00,ETHUSDT,2293259.621,6777384820.92235,3.41399128,2.16484,3.01181154,1.535445
2026-01-25 02:10:00,ETHUSDT,2293248.969,6778597349.945908,3.41173558,2.166398,3.01046251,1.460359
2026-01-25 02:15:00,ETHUSDT,2293575.144,6778890695.6064,3.36670067,2.166511,3.00916851,0.26548
2026-01-25 02:20:00,ETHUSDT,2294372.534,6780696812.08224,3.36542383,2.167436,3.006186,0.410589
2026-01-25 02:25:00,ETHUSDT,2294152.501,6777452489.105867,3.36640925,2.167509,3.00587043,0.457188
2026-01-25 02:30:00,ETHUSDT,2293743.017,6771374465.400076,3.3668205,2.167078,3.00689891,0.282029
2026-01-25 02:35:00,ETHUSDT,2293954.487,6776800345.4954,3.36334951,2.167317,3.00386791,5.153024
2026-01-25 02:40:00,ETHUSDT,2293826.104,6773989620.76656,3.36458536,2.166993,3.00452643,1.210492
2026-01-25 02:45:00,ETHUSDT,2293627.03,6771191453.250524,3.36822157,2.168022,3.00716148,0.047389
2026-01-25 02:50:00,ETHUSDT,2293802.923,6772657083.025072,3.36674116,2.166521,3.00605375,0.673931
2026-01-25 02:55:00,ETHUSDT,2293883.661,6772695421.160512,3.36471788,2.166546,3.00457774,1.462818
2026-01-25 03:00:00,ETHUSDT,2293976.25,6771955528.575,3.3634466,2.166451,3.00162995,1.018458
2026-01-25 03:05:00,ETHUSDT,2294212.695,6771965264.5932,3.36127686,2.166484,3.00144566,1.915948
2026-01-25 03:10:00,ETHUSDT,2295099.074,6769006686.890431,3.36997619,2.163192,3.00760606,0.386816
2026-01-25 03:15:00,ETHUSDT,2295137.202,6769920301.99536,3.37151883,2.161535,3.00974069,3.36594
2026-01-25 03:20:00,ETHUSDT,2294931.896,6763530814.888794,3.3906189,2.162192,3.01634626,0.569258
2026-01-25 03:25:00,ETHUSDT,2297322.669,6769612601.64906,3.39195587,2.160442,3.01681404,0.364998
2026-01-25 03:30:00,ETHUSDT,2297274.284,6762841158.558751,3.39308897,2.160486,3.01770776,0.564736
2026-01-25 03:35:00,ETHUSDT,2297770.782,6751677754.99752,3.42527489,2.161624,3.04552502,0.584053
2026-01-25 03:40:00,ETHUSDT,2295651.151,6751303426.48741,3.42432752,2.168743,3.04453701,1.501541
2026-01-25 03:45:00,ETHUSDT,2296136.365,6751436017.065064,3.42838131,2.171252,3.04804893,0.781261
2026-01-25 03:50:00,ETHUSDT,2298192.505,6756662982.77495,3.42885298,2.175487,3.05166012,0.679674
2026-01-25 03:55:00,ETHUSDT,2297746.766,6752071617.180023,3.42950707,2.178453,3.05329488,0.87051
2026-01-25 04:00:00,ETHUSDT,2297899.412,6759386015.3686,3.4430336,2.178107,3.06769577,2.607044
2026-01-25 04:05:00,ETHUSDT,2297019.104,6763170203.586241,3.44945321,2.178197,3.07290241,3.172166
2026-01-25 04:10:00,ETHUSDT,2296609.198,6762521935.137743,3.45692346,2.177302,3.08067073,0.895314
2026-01-25 04:15:00,ETHUSDT,2295698.996,6752913381.6838,3.46133637,2.173961,3.08209978,0.446263
2026-01-25 04:20:00,ETHUSDT,2295475.411,6751210499.185684,3.46318973,2.173435,3.08277826,0.696258
2026-01-25 04:25:00,ETHUSDT,2295630.834,6748419512.387508,3.45632605,2.171806,3.07972219,0.756761
2026-01-25 04:30:00,ETHUSDT,2295095.386,6754453231.410223,3.4473009,2.170651,3.07263825,2.004157
2026-01-25 04:35:00,ETHUSDT,2294837.944,6758963248.08376,3.45677668,2.172917,3.08046994,1.896886
2026-01-25 04:40:00,ETHUSDT,2294863.191,6763443745.14711,3.45155709,2.171846,3.07718696,3.135328
2026-01-25 04:45:00,ETHUSDT,2295034.274,6761675878.74428,3.44969595,2.171945,3.07295045,1.031221
2026-01-25 04:50:00,ETHUSDT,2294859.671,6760719939.564016,3.45052663,2.173696,3.07225526,1.615839
2026-01-25 04:55:00,ETHUSDT,2295061.431,6759414926.5812,3.4489917,2.172757,3.07131762,0.31409
2026-01-25 05:00:00,ETHUSDT,2295515.84,6757998632.96,3.44811228,2.172374,3.06929872,0.291463
2026-01-25 05:05:00,ETHUSDT,2296041.216,6758865172.22622,3.44740353,2.171017,3.06740311,0.603468
2026-01-25 05:10:00,ETHUSDT,2296157.233,6763421921.098416,3.44816681,2.171217,3.06418955,1.623936
2026-01-25 05:15:00,ETHUSDT,2295811.728,6766184112.204288,3.44877687,2.172132,3.06586506,2.364041
2026-01-25 05:20:00,ETHUSDT,2295914.777,6763099117.75667,3.45036583,2.172291,3.06693744,0.471036
2026-01-25 05:25:00,ETHUSDT,2296219.751,6763197953.2374735,3.4531335,2.171114,3.07002487,0.466637
2026-01-25 05:30:00,ETHUSDT,2296199.857,6765151129.489603,3.4508922,2.171098,3.06781563,0.800702
2026-01-25 05:35:00,ETHUSDT,2297735.013,6761820550.95666,3.45164161,2.174878,3.06592761,0.297836
2026-01-25 05:40:00,ETHUSDT,2297874.461,6762874326.1691,3.44868311,2.173645,3.06462122,0.540845
2026-01-25 05:45:00,ETHUSDT,2297375.971,6758627395.325191,3.43633946,2.175986,3.05253074,1.129606
2026-01-25 05:50:00,ETHUSDT,2297182.481,6766373969.610311,3.42895772,2.180016,3.04686006,5.393809
2026-01-25 05:55:00,ETHUSDT,2297188.641,6767610496.495772,3.43031376,2.180523,3.04672103,1.441295
2026-01-25 06:00:00,ETHUSDT,2297313.222,6768264859.392805,3.43051731,2.180606,3.04740532,1.366481
