create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-07-20 00:05:00,ETHUSDT,1993083.166,7147774227.39414,1.50958988,3.088272,1.2383069,0.42282
2025-07-20 00:10:00,ETHUSDT,1995572.098,7144793106.043714,1.50928635,3.080997,1.23571802,0.365049
2025-07-20 00:15:00,ETHUSDT,1996782.061,7155129062.643129,1.50688471,3.084087,1.23227658,1.65074
2025-07-20 00:20:00,ETHUSDT,1996146.534,7162402264.742164,1.50879162,3.084977,1.23509364,0.927073
2025-07-20 00:25:00,ETHUSDT,1997603.367,7176026686.988919,1.5033391,3.089457,1.23499379,2.27953
2025-07-20 00:30:00,ETHUSDT,1997220.983,7149851397.0417,1.50699206,3.077972,1.23655485,0.35149
2025-07-20 00:35:00,ETHUSDT,1996776.927,7157017951.545048,1.50825071,3.080415,1.23678563,1.292932
2025-07-20 00:40:00,ETHUSDT,1996693.938,7164772805.963456,1.50748193,3.080854,1.23614749,1.397088
2025-07-20 00:45:00,ETHUSDT,1996939.917,7160028072.4035,1.50590031,3.074902,1.23461721,0.580634
2025-07-20 00:50:00,ETHUSDT,1996014.348,7165491907.8852,1.5079688,3.067718,1.23547775,4.568707
2025-07-20 00:55:00,ETHUSDT,1997809.828,7172897123.936092,1.5041661,3.067423,1.23201931,0.669262
2025-07-20 01:00:00,ETHUSDT,1999546.105,7178930389.8594,1.4999831,3.055272,1.23090304,1.4803
2025-07-20 01:05:00,ETHUSDT,2001689.578,7196166515.392239,1.49844794,3.055627,1.23101193,1.515364
2025-07-20 01:10:00,ETHUSDT,2000978.496,7228573413.1939745,1.49143731,3.071643,1.24475535,2.049436
2025-07-20 01:15:00,ETHUSDT,2002673.732,7220073966.237098,1.49646087,3.059466,1.24575758,0.780731
2025-07-20 01:20:00,ETHUSDT,2002818.163,7230153540.248369,1.49764957,3.054868,1.24828441,1.2399
2025-07-20 01:25:00,ETHUSDT,2008378.042,7263798426.525903,1.4939167,3.064003,1.25253865,1.768274
2025-07-20 01:30:00,ETHUSDT,2008876.241,7247462992.18052,1.49510651,3.06055,1.25374554,0.646126
2025-07-20 01:35:00,ETHUSDT,2009543.779,7256382204.21784,1.49698938,3.052517,1.25362814,0.95754
2025-07-20 01:40:00,ETHUSDT,2008745.351,7241765137.923411,1.49381715,3.05265,1.2461617,0.556662
2025-07-20 01:45:00,ETHUSDT,2010110.23,7259030669.1898,1.49594238,3.045474,1.24982976,2.018447
2025-07-20 01:50:00,ETHUSDT,2010633.035,7259228815.268351,1.49665653,3.045967,1.24967169,1.059616
2025-07-20 01:55:00,ETHUSDT,2010511.752,7249101173.0112,1.49362133,3.043454,1.24781328,1.10258
2025-07-20 02:00:00,ETHUSDT,2010994.922,7247867018.27864,1.48992859,3.041222,1.24386829,0.557256
