,0
Total Trades,6444
Winning Trades,2643
Losing Trades,3801
Win Rate [%],41.0
Avg Trade PnL,1160.31
Avg Trade Return [%],-0.03
Best Trade [%],8.92
Worst Trade [%],-5.18
Avg Win [%],0.72
Avg Loss [%],-0.55
Largest Win,212791.52
Largest Loss,-120823.28
Avg Duration,0 days 08:42:56
Max Consecutive Wins,30
Max Consecutive Losses,38
