rsi_period,oversold,overbought,min_adx,stop_loss_atr,take_profit_atr,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
10,35,65,15,1.5,4.0,3424.990097232299,4.123728743651837,12.410526983082233,64.58333333333334,720
10,35,75,15,1.5,4.0,12960.554300220425,4.0546302618827035,14.947335074291088,59.424920127795524,939
10,35,70,15,1.5,4.0,5816.80639381329,4.020093465243748,13.86648107550742,63.84248210023866,838
14,35,70,15,1.5,4.0,9540.010268021808,3.9929461394297827,15.260784238773766,58.78552971576227,774
14,30,70,15,1.5,4.0,4911.262859784192,3.89611998037493,12.863987045286512,61.258278145695364,604
10,30,75,15,1.5,4.0,7226.879049004042,3.864418497161464,14.777473355985585,60.75471698113207,795
10,35,65,15,1.5,3.0,2532.183542373722,3.8535410373174868,12.41052698308225,64.16666666666667,720
10,30,65,15,1.5,4.0,1819.3562690529423,3.8410742225816827,12.41052698308226,64.80836236933798,574
10,40,70,15,1.5,4.0,5818.927016116184,3.8311880754479843,13.866481075507414,61.99376947040498,963
10,40,75,15,1.5,4.0,11216.014132736613,3.7909532155051973,17.63450518860104,57.714285714285715,1050
10,35,75,15,2.0,4.0,11416.509234926063,3.7747761276199268,17.886771178436568,63.43457943925234,856
10,35,70,15,2.0,4.0,5448.302652982143,3.7630062454617392,16.67911922171158,66.7948717948718,780
10,35,65,15,2.0,4.0,2762.7331112923102,3.7577460584708007,16.175671464227843,66.61786237188872,683
14,35,70,15,1.5,3.0,6405.006739995836,3.73158845021309,15.260784238773766,59.131545338441896,783
14,30,70,15,1.5,3.0,3820.0426109957507,3.730033622280461,12.86398704528651,61.37479541734861,611
10,30,65,15,1.5,3.0,1615.479698543778,3.722126181908153,12.41052698308226,64.63414634146342,574
10,35,65,20,1.5,4.0,1253.1872738729633,3.7078988842849046,6.946058239380173,64.25619834710744,484
10,35,70,15,1.5,3.0,3866.169899675646,3.697266815989518,13.866481075507412,63.5280095351609,839
14,30,70,15,2.0,4.0,4718.010515682445,3.6855461779487793,16.674197781077876,65.14598540145985,548
10,35,65,15,1.5,2.5,2092.582863083767,3.6783184858299918,12.410526983082237,64.02777777777777,720
10,35,75,20,1.5,4.0,4797.4753668754465,3.675274699122883,13.866481075507398,59.686609686609685,702
14,30,70,20,1.5,4.0,2777.85725504017,3.675129415345855,12.863987045286542,62.57796257796257,481
10,40,65,15,1.5,4.0,2738.8110249643637,3.6691014014712717,12.410526983082265,61.64542294322132,863
18,35,65,15,1.5,4.0,4715.6749257772535,3.667747876727358,13.866481075507409,60.51364365971108,623
10,35,70,20,1.5,4.0,2054.7567292547915,3.636446119224732,13.866481075507412,64.8506151142355,569
10,30,65,15,1.5,2.5,1468.3270887289568,3.636387262917931,12.41052698308226,64.63414634146342,574
14,35,70,15,2.0,4.0,7350.20203047427,3.625026717917535,14.937886698541469,62.18130311614731,706
10,35,75,15,1.5,3.0,6869.666601863142,3.622204593298017,14.947335074291013,59.32203389830508,944
10,30,75,15,2.0,4.0,6594.945997604363,3.61538996952604,15.745370000270164,65.0904033379694,719
14,30,65,15,1.5,4.0,1693.9623465272903,3.601980648055554,12.863987045286517,64.46280991735537,484
14,40,70,15,1.5,4.0,8103.075301636652,3.598129303561426,19.905189712724265,57.02947845804989,882
14,30,70,20,1.5,3.0,2431.357611354658,3.5980291379667597,12.863987045286498,62.757201646090536,486
10,35,75,20,2.0,4.0,5150.482842563415,3.5957326374339424,13.401975197659683,63.66459627329193,644
14,40,70,20,1.5,4.0,3899.8309894790495,3.5855599638047186,13.70373148258344,58.610271903323266,662
14,35,65,15,1.5,4.0,2753.0705679735847,3.5801646599869694,15.276637530563075,61.261261261261254,666
18,40,65,15,1.5,4.0,6129.518086726222,3.5763890569553594,13.917671193364779,59.24932975871313,746
14,30,70,20,2.0,4.0,2867.5719106805745,3.555701632758205,13.786252762971998,66.36155606407323,437
14,35,70,20,1.5,4.0,3492.182716128357,3.5540737009672503,13.630956608992964,59.729272419627755,591
14,30,70,15,2.0,3.0,3691.537574106784,3.540163192520212,17.251438926543162,65.82278481012658,553
10,40,75,15,2.0,4.0,10282.483578557149,3.5395817121494537,18.163132006790086,62.381454162276086,949
10,35,65,15,2.5,4.0,2460.5653503284443,3.537051118906466,16.20430068690743,67.78625954198473,655
14,30,70,20,2.0,3.0,2659.012512767407,3.5370228026364785,13.786252762972001,66.89342403628117,441
18,35,70,15,1.5,4.0,9248.893181749077,3.5349230643884746,14.285723183865025,54.84330484330484,702
10,35,70,20,2.0,4.0,2171.011548609253,3.5326940647934726,10.634263840232334,68.04511278195488,532
10,30,65,15,2.0,4.0,1577.0971530178579,3.5318126672107355,14.008647950234398,67.21611721611723,546
10,35,65,20,2.0,4.0,1205.901410561269,3.5318026596692325,8.078673024343328,66.8859649122807,456
10,30,65,20,1.5,4.0,886.201821257897,3.5313103816362594,6.6171771803011925,65.52631578947368,380
10,40,70,15,1.5,3.0,3919.797305684196,3.5292905106980044,13.866481075507405,61.72199170124482,964
10,40,70,15,2.0,4.0,5309.441648936407,3.5270468790538274,15.926761706182207,65.73033707865169,890
10,30,75,15,1.5,3.0,4517.156002312606,3.5219493892020126,14.777473355985471,60.54931335830213,801
10,35,65,15,2.0,3.0,2098.6227943424196,3.5172713426659894,16.175671464227843,66.17862371888727,683
14,35,70,20,2.0,4.0,3860.939212862384,3.5058466792118996,19.208616801712207,63.36448598130842,535
10,30,65,20,2.0,4.0,945.2289723037122,3.4873601763720434,8.078673024343333,68.33333333333333,360
