,0
Start,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00
Total Return [%],16.832481215243916
Max Drawdown [%],61.25037272897343
Sharpe Ratio,0.30468140996564
Win Rate [%],26.837060702875398
Total Trades,313
