,0
Start,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00
Total Return [%],-31.45869240693404
Max Drawdown [%],53.41837753700861
Sharpe Ratio,-0.09490195027420902
Win Rate [%],25.396825396825395
Total Trades,315
