fast,slow,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
30,80,20.320467999192644,0.30286402370660037,52.99525987844558,26.45739910313901,223
25,70,13.985827945760521,0.2644045464315047,53.29490148284823,24.71042471042471,259
20,80,11.803123322899792,0.25053809238278335,51.05103790501927,24.521072796934863,261
30,60,5.178695404874597,0.20760945621847698,53.83245258633399,23.77358490566038,265
25,80,4.47589211069655,0.2022214349998105,54.80454742685159,25.206611570247933,242
30,70,-0.30068040169753657,0.1694024203472945,55.2756959786714,26.422764227642276,246
15,80,-7.204847654375043,0.11658162392750365,51.437643455619686,24.832214765100673,298
20,70,-8.142529435386022,0.1108369210793823,53.21232004447618,24.912280701754387,285
30,50,-15.182717641235795,0.05420386447639024,51.30941479183727,24.579124579124578,297
25,60,-20.982240575962706,0.004386133655774789,50.870423454158285,24.914675767918087,293
10,80,-25.905967436567533,-0.042623762009549704,54.20626822027324,23.229461756373937,353
20,50,-26.72576844526083,-0.04751973507468943,48.41937869321536,24.78386167146974,347
25,50,-30.541689621998856,-0.08465512308572781,52.012571947456266,24.923076923076923,325
20,60,-31.45869240693404,-0.09490195027420902,53.41837753700861,25.396825396825395,315
15,60,-33.09210400552859,-0.11176804943465317,51.11958245653222,23.809523809523807,357
15,70,-34.45833603941198,-0.13015924109139282,55.57533848173487,23.235294117647058,340
10,70,-44.341995009178426,-0.2445905160038039,58.66417720777037,20.098039215686274,408
15,50,-47.462643060783606,-0.27992193725963077,55.71410132393242,22.926829268292686,411
10,60,-48.93145361233689,-0.3006358777396803,58.75565618565146,22.350230414746544,434
10,50,-63.81369902426696,-0.5363953382293453,64.60232655122034,21.64328657314629,500
