fast,slow,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
25,50,42.97525365513465,0.41749589047923724,60.75573462801296,29.80132450331126,302
20,60,16.832481215243916,0.30468140996564,61.25037272897343,26.837060702875398,313
30,50,8.816325724067264,0.264909281482241,62.23215875959329,27.946127946127948,297
25,60,-1.4089550583606434,0.21019451783388807,62.250423582549665,28.27586206896552,290
20,50,-2.4775564762218347,0.20436124783049314,62.03107425549719,28.654970760233915,342
10,80,-4.890103980665117,0.1902109410464525,56.674139644632284,23.728813559322035,354
20,70,-6.240902746574957,0.18186698513737798,61.89090986161635,28.040540540540544,296
15,60,-8.645643584371392,0.16766230118707112,60.11008623516025,26.243093922651934,362
10,60,-8.990292463446385,0.1652371728720179,52.53319013476339,27.358490566037734,425
15,80,-16.18345033609434,0.11894218755111698,60.88116526822763,24.679487179487182,312
10,70,-16.49893654879783,0.11610403013679545,58.56410892764596,26.582278481012654,395
15,70,-21.193547625003433,0.08479387724620367,61.50902085361226,26.865671641791046,335
30,70,-22.63126635926741,0.07264700388806755,60.45772557735444,26.294820717131472,251
25,70,-24.491060677977483,0.060501366868897725,59.946846444235305,27.44360902255639,266
20,80,-27.537065364210893,0.03570670232293608,61.777722324716,24.642857142857146,280
15,50,-28.293494130301543,0.032205377322846104,54.539372169797254,27.455919395465994,398
30,60,-29.75050814583956,0.020497318299028375,62.06738556201352,26.642335766423358,274
25,80,-32.007559922309355,0.0005713910279021997,64.41715877611584,24.803149606299215,254
10,50,-33.232386517547646,-0.004805317133296205,57.12225136473648,28.333333333333332,481
30,80,-36.3564468133875,-0.037837621590987344,62.799403232540605,26.27118644067797,236
