period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
18,25,75,-65.95444343039755,-1.7351349261819418,67.39458947965494,46.171171171171174,444
18,25,70,-65.95444343039755,-1.7351349261819418,67.39458947965494,46.171171171171174,444
18,25,65,-65.95444343039755,-1.7351349261819418,67.39458947965494,46.171171171171174,444
16,25,75,-75.90736832881058,-2.157067926253702,76.9103915420151,46.27151051625239,523
16,25,65,-75.90736832881058,-2.157067926253702,76.9103915420151,46.27151051625239,523
16,25,70,-75.90736832881058,-2.157067926253702,76.9103915420151,46.27151051625239,523
18,30,75,-80.2863817656143,-1.9942068831648316,81.59268197847393,46.17380025940337,771
18,30,70,-80.2863817656143,-1.9942068831648316,81.59268197847393,46.17380025940337,771
18,30,65,-80.2863817656143,-1.9942068831648316,81.59268197847393,46.17380025940337,771
14,25,70,-84.37228907652792,-2.5898606225688545,85.35880486800409,45.10086455331412,694
14,25,65,-84.37228907652792,-2.5898606225688545,85.35880486800409,45.10086455331412,694
14,25,75,-84.37228907652792,-2.5898606225688545,85.35880486800409,45.10086455331412,694
12,25,75,-87.60505608215693,-2.8381679743980532,88.17277255651908,43.08571428571429,875
12,25,70,-87.60505608215693,-2.8381679743980532,88.17277255651908,43.08571428571429,875
12,25,65,-87.60505608215693,-2.8381679743980532,88.17277255651908,43.08571428571429,875
16,30,65,-88.6257416414416,-2.5847924079611397,89.24335509231912,45.17543859649123,912
16,30,70,-88.6257416414416,-2.5847924079611397,89.24335509231912,45.17543859649123,912
16,30,75,-88.6257416414416,-2.5847924079611397,89.24335509231912,45.17543859649123,912
14,30,70,-91.34272801346263,-2.7426836174904854,91.83605423877046,45.46279491833031,1102
14,30,75,-91.34272801346263,-2.7426836174904854,91.83605423877046,45.46279491833031,1102
14,30,65,-91.34272801346263,-2.7426836174904854,91.83605423877046,45.46279491833031,1102
10,25,70,-91.46283369832608,-3.0493125318573493,91.99682562529064,44.07079646017699,1130
10,25,65,-91.46283369832608,-3.0493125318573493,91.99682562529064,44.07079646017699,1130
10,25,75,-91.46283369832608,-3.0493125318573493,91.99682562529064,44.07079646017699,1130
18,35,75,-93.17082916462459,-2.633647657384892,93.82603935235434,45.48494983277592,1196
18,35,70,-93.17082916462459,-2.633647657384892,93.82603935235434,45.48494983277592,1196
18,35,65,-93.17082916462459,-2.633647657384892,93.82603935235434,45.48494983277592,1196
12,30,75,-95.57865887943217,-3.356431200815656,95.81188453046026,43.09815950920245,1304
12,30,70,-95.57865887943217,-3.356431200815656,95.81188453046026,43.09815950920245,1304
12,30,65,-95.57865887943217,-3.356431200815656,95.81188453046026,43.09815950920245,1304
16,35,65,-96.60717557834728,-3.2220716866933583,96.8210000268316,41.56039009752438,1333
16,35,75,-96.60717557834728,-3.2220716866933583,96.8210000268316,41.56039009752438,1333
16,35,70,-96.60717557834728,-3.2220716866933583,96.8210000268316,41.56039009752438,1333
14,35,65,-97.24695572184179,-3.3649405790822735,97.41011247165974,42.64026402640264,1515
14,35,75,-97.24695572184179,-3.3649405790822735,97.41011247165974,42.64026402640264,1515
14,35,70,-97.24695572184179,-3.3649405790822735,97.41011247165974,42.64026402640264,1515
10,30,75,-97.4555749208058,-3.787312650155088,97.58692159887504,41.83994959042218,1588
10,30,70,-97.4555749208058,-3.787312650155088,97.58692159887504,41.83994959042218,1588
10,30,65,-97.4555749208058,-3.787312650155088,97.58692159887504,41.83994959042218,1588
12,35,65,-98.07120960494962,-3.6533360399921695,98.28662160371341,43.643586833144155,1762
12,35,70,-98.07120960494962,-3.6533360399921695,98.28662160371341,43.643586833144155,1762
12,35,75,-98.07120960494962,-3.6533360399921695,98.28662160371341,43.643586833144155,1762
10,35,75,-99.0593665021179,-4.120051463442174,99.08550739701924,42.50837721397798,2090
10,35,70,-99.0593665021179,-4.120051463442174,99.08550739701924,42.50837721397798,2090
10,35,65,-99.0593665021179,-4.120051463442174,99.08550739701924,42.50837721397798,2090
