,0
Total Trades,10
Winning Trades,7
Losing Trades,3
Win Rate [%],70.0
Avg Trade PnL,185.45
Avg Trade Return [%],2.21
Best Trade [%],16.39
Worst Trade [%],-15.88
Avg Win [%],7.35
Avg Loss [%],-9.77
Largest Win,1631.5
Largest Loss,-1839.62
Avg Duration,11 days 04:42:00
Max Consecutive Wins,5
Max Consecutive Losses,2
