,0
Total Trades,25
Winning Trades,15
Losing Trades,10
Win Rate [%],60.0
Avg Trade PnL,270.95
Avg Trade Return [%],2.2
Best Trade [%],12.29
Worst Trade [%],-5.62
Avg Win [%],5.27
Avg Loss [%],-2.39
Largest Win,1311.49
Largest Loss,-660.72
Avg Duration,13 days 07:40:48
Max Consecutive Wins,4
Max Consecutive Losses,2
