,0
Total Trades,16
Winning Trades,12
Losing Trades,4
Win Rate [%],75.0
Avg Trade PnL,634.11
Avg Trade Return [%],5.01
Best Trade [%],24.34
Worst Trade [%],-12.27
Avg Win [%],9.58
Avg Loss [%],-8.68
Largest Win,3044.66
Largest Loss,-2467.83
Avg Duration,14 days 16:30:00
Max Consecutive Wins,7
Max Consecutive Losses,3
