,0
Total Trades,23
Winning Trades,12
Losing Trades,11
Win Rate [%],52.2
Avg Trade PnL,139.49
Avg Trade Return [%],1.35
Best Trade [%],14.69
Worst Trade [%],-6.04
Avg Win [%],5.45
Avg Loss [%],-3.12
Largest Win,1868.74
Largest Loss,-780.81
Avg Duration,12 days 04:13:02
Max Consecutive Wins,5
Max Consecutive Losses,5
