Entry Time,Exit Time,Entry Price,Exit Price,PnL,Return [%],Duration,Status
2022-01-03 21:00:00+00:00,2022-01-03 23:00:00+00:00,45944.971005,46194.80104500001,42.31791092814356,0.42,0 days 02:00:00,Closed
2022-01-04 02:00:00+00:00,2022-01-04 04:00:00+00:00,46078.01749499999,46290.80302,34.27565086192478,0.34,0 days 02:00:00,Closed
2022-01-05 20:00:00+00:00,2022-01-06 11:00:00+00:00,44708.272965,42857.430565,-428.7372980588417,-4.26,0 days 15:00:00,Closed
2022-01-07 04:00:00+00:00,2022-01-07 05:00:00+00:00,41824.011555,41679.479835000006,-44.870709335776574,-0.47,0 days 01:00:00,Closed
2022-01-07 07:00:00+00:00,2022-01-07 08:00:00+00:00,41549.914575,41685.856645,19.864478117101903,0.21,0 days 01:00:00,Closed
2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,40862.531055,41748.145485,196.76560271092595,2.05,0 days 04:00:00,Closed
2022-01-10 10:00:00+00:00,2022-01-10 11:00:00+00:00,41816.908005,41757.99056,-25.595113519002314,-0.26,0 days 01:00:00,Closed
2022-01-10 13:00:00+00:00,2022-01-10 15:00:00+00:00,40950.475005,40766.176715,-55.771066427081195,-0.57,0 days 02:00:00,Closed
2022-01-13 23:00:00+00:00,2022-01-14 01:00:00+00:00,42618.31851,42729.28467000001,13.646372408247316,0.14,0 days 02:00:00,Closed
2022-01-14 04:00:00+00:00,2022-01-14 06:00:00+00:00,42645.181935,42873.552500000005,40.46479885299123,0.42,0 days 02:00:00,Closed
2022-01-16 11:00:00+00:00,2022-01-16 12:00:00+00:00,42921.45,42946.815850000006,-5.963607579372996,-0.06,0 days 01:00:00,Closed
2022-01-17 13:00:00+00:00,2022-01-17 14:00:00+00:00,42571.36504499999,42625.046815,0.5890466826615643,0.01,0 days 01:00:00,Closed
2022-01-17 17:00:00+00:00,2022-01-17 18:00:00+00:00,42238.128509999995,42089.78458,-46.068852797559316,-0.47,0 days 01:00:00,Closed
2022-01-17 21:00:00+00:00,2022-01-17 23:00:00+00:00,42099.679319999996,42056.141410000004,-21.743701605878726,-0.22,0 days 02:00:00,Closed
2022-01-18 15:00:00+00:00,2022-01-18 16:00:00+00:00,41470.06466999999,41566.46637,10.910171315220442,0.11,0 days 01:00:00,Closed
2022-01-21 02:00:00+00:00,2022-01-21 16:00:00+00:00,39782.881499999996,38837.81138,-242.53682121673083,-2.49,0 days 14:00:00,Closed
2022-01-21 22:00:00+00:00,2022-01-22 03:00:00+00:00,36700.571115,36448.986390000005,-76.3379617174984,-0.81,0 days 05:00:00,Closed
2022-01-22 04:00:00+00:00,2022-01-22 12:00:00+00:00,36358.600215,35389.05662,-261.94633908075997,-2.79,0 days 08:00:00,Closed
2022-01-24 11:00:00+00:00,2022-01-24 12:00:00+00:00,33293.22829499999,33680.271440000004,95.26266082238016,1.04,0 days 01:00:00,Closed
2022-01-24 13:00:00+00:00,2022-01-24 16:00:00+00:00,33131.447445,34220.191345,292.3364210957588,3.16,0 days 03:00:00,Closed
2022-01-27 02:00:00+00:00,2022-01-27 03:00:00+00:00,35900.151105,35990.685655,12.584254361118905,0.13,0 days 01:00:00,Closed
2022-01-27 04:00:00+00:00,2022-01-27 09:00:00+00:00,35763.57285,36431.765005,166.75155458689875,1.75,0 days 05:00:00,Closed
2022-01-31 01:00:00+00:00,2022-01-31 03:00:00+00:00,36847.71465,36976.192655000006,22.18467559640928,0.23,0 days 02:00:00,Closed
2022-02-02 07:00:00+00:00,2022-02-02 08:00:00+00:00,38300.320589999996,38262.99893,-21.1572147382911,-0.22,0 days 01:00:00,Closed
2022-02-02 16:00:00+00:00,2022-02-02 20:00:00+00:00,37448.494889999994,37547.77672,14.077313001763248,0.14,0 days 04:00:00,Closed
2022-02-02 22:00:00+00:00,2022-02-03 06:00:00+00:00,36940.971255,36973.134185,-3.208091096176494,-0.03,0 days 08:00:00,Closed
2022-02-03 10:00:00+00:00,2022-02-03 12:00:00+00:00,36633.20745,36766.607500000006,23.71571721796297,0.24,0 days 02:00:00,Closed
2022-02-08 19:00:00+00:00,2022-02-08 21:00:00+00:00,43000.04927999999,44249.814025,271.3941013060737,2.78,0 days 02:00:00,Closed
2022-02-11 06:00:00+00:00,2022-02-11 10:00:00+00:00,42869.514044999996,43470.883685,128.4153357929647,1.28,0 days 04:00:00,Closed
2022-02-12 04:00:00+00:00,2022-02-12 09:00:00+00:00,42309.59422499999,42257.4607,-24.668376505442147,-0.24,0 days 05:00:00,Closed
