,0
Total Trades,1102
Winning Trades,501
Losing Trades,601
Win Rate [%],45.5
Avg Trade PnL,-8.29
Avg Trade Return [%],-0.21
Best Trade [%],3.61
Worst Trade [%],-8.85
Avg Win [%],0.44
Avg Loss [%],-0.76
Largest Win,292.34
Largest Loss,-598.82
Avg Duration,0 days 03:39:57
Max Consecutive Wins,10
Max Consecutive Losses,12
