create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-05-15 00:05:00,XRPUSDT,308194526.4,787529473.30992,3.49633677,2.166897,2.96466323,0.700051
2025-05-15 00:10:00,XRPUSDT,308465534.1,788332012.0263988,3.50118027,2.163924,2.97176253,0.661764
2025-05-15 00:15:00,XRPUSDT,308596880.5,790178081.8208436,3.50105656,2.158849,2.97114734,1.022049
2025-05-15 00:20:00,XRPUSDT,308364056.9,790902870.3735813,3.46326276,2.150622,2.95993085,1.460775
2025-05-15 00:25:00,XRPUSDT,308401962.5,791000511.4030032,3.44897706,2.144371,2.95115349,0.948075
2025-05-15 00:30:00,XRPUSDT,308409004.3,790915758.1566522,3.45223325,2.140697,2.94960978,0.550277
2025-05-15 00:35:00,XRPUSDT,308427205.7,790036287.4005501,3.31419401,2.140475,2.89038462,1.371009
2025-05-15 00:40:00,XRPUSDT,308521650.2,790531694.5455375,3.31198764,2.140135,2.88832152,0.576847
2025-05-15 00:45:00,XRPUSDT,308636594.3,791128182.16919,3.31186884,2.140674,2.88684795,1.095961
2025-05-15 00:50:00,XRPUSDT,308710921.2,792862258.91796,3.30930895,2.140258,2.88608127,1.696994
2025-05-15 00:55:00,XRPUSDT,308837397.3,793033169.1035235,3.31063123,2.136937,2.89124955,1.276052
2025-05-15 01:00:00,XRPUSDT,308883969.7,792644875.3205117,3.31126928,2.133706,2.88964855,0.545149
2025-05-15 01:05:00,XRPUSDT,308960845.3,792090874.8373765,3.31884574,2.130728,2.89593086,0.794069
2025-05-15 01:10:00,XRPUSDT,309070947.5,791485949.255721,3.32489,2.131834,2.89550717,0.566805
2025-05-15 01:15:00,XRPUSDT,309160353.0,789117700.2287997,3.34141969,2.130488,2.920822,0.707898
2025-05-15 01:20:00,XRPUSDT,309376877.8,790426985.09122,3.3415392,2.130608,2.92485479,1.287643
2025-05-15 01:25:00,XRPUSDT,309345750.6,788398579.97916,3.33926864,2.129768,2.92110036,1.164876
2025-05-15 01:30:00,XRPUSDT,309469980.1,788065304.3246499,3.34441919,2.129558,2.92329099,0.951248
2025-05-15 01:35:00,XRPUSDT,310117215.8,788443724.3981234,3.3272944,2.126111,2.90700898,1.355181
2025-05-15 01:40:00,XRPUSDT,310274798.6,785934094.7655878,3.32915173,2.125192,2.9057449,0.664005
2025-05-15 01:45:00,XRPUSDT,310001430.2,784485387.7445978,3.34485241,2.112302,2.92468925,0.581943
2025-05-15 01:50:00,XRPUSDT,309943128.5,782885348.2781501,3.34525381,2.10606,2.92346597,0.83988
2025-05-15 01:55:00,XRPUSDT,309155196.6,777092502.17376,3.36598936,2.100906,2.9339524,0.564031
2025-05-15 02:00:00,XRPUSDT,308880006.4,779241275.513895,3.35990338,2.099249,2.93620817,1.768109
2025-05-15 02:05:00,XRPUSDT,309076103.3,782055264.17999,3.36647315,2.096761,2.94433155,1.562667
2025-05-15 02:10:00,XRPUSDT,309090074.9,783265158.8040899,3.36861844,2.105,2.94926643,2.037868
2025-05-15 02:15:00,XRPUSDT,309127969.8,782947741.9756913,3.37489398,2.107865,2.9474689,0.841981
2025-05-15 02:20:00,XRPUSDT,309074616.1,782391483.19554,3.36443853,2.107229,2.93570376,1.047899
2025-05-15 02:25:00,XRPUSDT,309023488.4,784458823.0784538,3.33990622,2.111819,2.93499232,1.742631
