create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-02-22 00:05:00,ADAUSDT,264761868.0,74027418.2928,2.66627988,1.460658,2.43578947,0.897565
2026-02-22 00:10:00,ADAUSDT,264933716.0,74128453.7368,2.6620306,1.459998,2.43627176,1.934691
2026-02-22 00:15:00,ADAUSDT,264842328.0,74062391.6308721,2.65994904,1.464017,2.43703496,0.613982
2026-02-22 00:20:00,ADAUSDT,264537303.0,73850455.6188252,2.66480966,1.458955,2.44535211,0.505411
2026-02-22 00:25:00,ADAUSDT,262324453.0,72978662.8246,2.70613208,1.433973,2.47264676,0.416214
2026-02-22 00:30:00,ADAUSDT,262262639.0,73026155.87233575,2.69647059,1.435525,2.46380735,0.784608
2026-02-22 00:35:00,ADAUSDT,262161613.0,72985793.0592,2.68697282,1.435348,2.45958233,0.60701
2026-02-22 00:40:00,ADAUSDT,262378795.0,73030849.6451576,2.68823254,1.437224,2.45951705,1.694742
2026-02-22 00:45:00,ADAUSDT,262420916.0,72821804.19,2.69210897,1.434898,2.46129767,0.491077
2026-02-22 00:50:00,ADAUSDT,262434099.0,72787244.19466263,2.7082153,1.434326,2.4739777,0.73993
2026-02-22 00:55:00,ADAUSDT,262576961.0,73036955.42116566,2.7030403,1.433086,2.47001713,2.850305
2026-02-22 01:00:00,ADAUSDT,262620878.0,73110978.95466197,2.70471698,1.432799,2.47406031,1.678904
2026-02-22 01:05:00,ADAUSDT,262424065.0,73043715.20320885,2.71128423,1.436441,2.47784448,0.993973
2026-02-22 01:10:00,ADAUSDT,262323533.0,72991273.84989363,2.7132735,1.438074,2.48125894,0.576214
2026-02-22 01:15:00,ADAUSDT,262315951.0,73027134.39950381,2.71216057,1.438438,2.47941092,0.879208
2026-02-22 01:20:00,ADAUSDT,262837948.0,73177491.10300608,2.71128423,1.438232,2.48040618,0.570223
2026-02-22 01:25:00,ADAUSDT,262874238.0,73236762.7068,2.70976876,1.436076,2.4802688,1.294477
2026-02-22 01:30:00,ADAUSDT,262995049.0,73225543.17623864,2.7107126,1.436092,2.47941681,0.980581
2026-02-22 01:35:00,ADAUSDT,263046483.0,73284750.1638,2.71340888,1.434517,2.48568566,1.272167
2026-02-22 01:40:00,ADAUSDT,263001864.0,73272319.3104,2.71411709,1.43406,2.48947142,1.104549
2026-02-22 01:45:00,ADAUSDT,263041260.0,73362207.414,2.71212836,1.43614,2.48640527,4.192647
2026-02-22 01:50:00,ADAUSDT,263220483.0,73448377.628498,2.71132075,1.432695,2.48868843,0.646369
2026-02-22 01:55:00,ADAUSDT,263159065.0,73441645.01459564,2.71354412,1.432766,2.48662183,1.696727
2026-02-22 02:00:00,ADAUSDT,263156066.0,73446858.0206,2.71074965,1.431821,2.48135981,1.287315
2026-02-22 02:05:00,ADAUSDT,262892372.0,73268104.0764,2.71455532,1.430789,2.48313804,0.764172
2026-02-22 02:10:00,ADAUSDT,262526854.0,73326708.99984458,2.70557778,1.427363,2.47829812,1.236076
