create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-06-04 00:05:00,ADAUSDT,227233346.0,155519881.30881023,2.39910072,1.42837,2.66117876,0.888418
2025-06-04 00:10:00,ADAUSDT,227298873.0,155653515.87113038,2.4019802,1.426936,2.66614649,1.200434
2025-06-04 00:15:00,ADAUSDT,226365676.0,154927563.87139603,2.40158473,1.440285,2.6609509,0.790964
2025-06-04 00:20:00,ADAUSDT,226543724.0,155635538.388,2.40237752,1.43995,2.66017337,2.400222
2025-06-04 00:25:00,ADAUSDT,226215297.0,155433437.69204098,2.40681941,1.445894,2.66858705,0.543378
2025-06-04 00:30:00,ADAUSDT,226071763.0,154926979.1839,2.40761458,1.449828,2.66526829,0.526699
2025-06-04 00:35:00,ADAUSDT,226114385.0,154930119.31305334,2.40649819,1.447669,2.66273286,1.117746
2025-06-04 00:40:00,ADAUSDT,226070899.0,154519459.4665,2.41538462,1.452409,2.66497511,0.773863
2025-06-04 00:45:00,ADAUSDT,226087316.0,154937637.6548,2.40827013,1.455501,2.65858173,1.628058
2025-06-04 00:50:00,ADAUSDT,226057366.0,155256198.9688,2.41316932,1.453452,2.66211604,0.691995
2025-06-04 00:55:00,ADAUSDT,226148975.0,155905893.46798375,2.40910734,1.448246,2.6642906,1.140839
2025-06-04 01:00:00,ADAUSDT,226420721.0,156388791.9947,2.39488841,1.447358,2.65779208,1.919053
2025-06-04 01:05:00,ADAUSDT,224864493.0,156118890.9676559,2.36082842,1.481274,2.56700736,1.572248
2025-06-04 01:10:00,ADAUSDT,224201720.0,156403119.872,2.80643855,1.490296,2.9431385,1.239059
2025-06-04 01:15:00,ADAUSDT,224209331.0,155777697.06819066,2.78046324,1.490299,2.92136608,0.993236
2025-06-04 01:20:00,ADAUSDT,224223361.0,155454056.1813,2.78639018,1.487249,2.93161943,0.952583
2025-06-04 01:25:00,ADAUSDT,224356973.0,155681303.5647,2.78939944,1.486699,2.93606921,0.978745
2025-06-04 01:30:00,ADAUSDT,224818060.0,156170326.256023,2.78992951,1.485942,2.93672888,1.833159
2025-06-04 01:35:00,ADAUSDT,224898523.0,156034595.2574,2.80056577,1.4842,2.93858816,0.764045
2025-06-04 01:40:00,ADAUSDT,224794585.0,155717007.38618,2.80854943,1.4845,2.94253116,0.676983
2025-06-04 01:45:00,ADAUSDT,224852362.0,155978520.7954841,2.80728745,1.484907,2.93765165,1.14961
