,0
Total Trades,2403
Winning Trades,1420
Losing Trades,983
Win Rate [%],59.1
Avg Trade PnL,6498.75
Avg Trade Return [%],0.31
Best Trade [%],10.34
Worst Trade [%],-7.17
Avg Win [%],1.04
Avg Loss [%],-0.76
Largest Win,565373.91
Largest Loss,-446616.74
Avg Duration,0 days 06:45:10
Max Consecutive Wins,15
Max Consecutive Losses,9
