,0
Total Trades,2186
Winning Trades,1259
Losing Trades,927
Win Rate [%],57.6
Avg Trade PnL,480.6
Avg Trade Return [%],0.21
Best Trade [%],7.21
Worst Trade [%],-5.18
Avg Win [%],0.83
Avg Loss [%],-0.62
Largest Win,24338.47
Largest Loss,-19631.45
Avg Duration,0 days 07:54:53
Max Consecutive Wins,20
Max Consecutive Losses,9
