,0
Start,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00
Total Return [%],-92.94570593948286
Max Drawdown [%],92.9760504236095
Sharpe Ratio,-6.466129608342775
Win Rate [%],23.937153419593347
Total Trades,1082
