,0
Start,2022-01-01 00:00:00+00:00
End,2026-02-07 09:00:00+00:00
Total Return [%],-94.17971665640829
Max Drawdown [%],94.29473091388006
Sharpe Ratio,-5.314005499184166
Win Rate [%],26.63716814159292
Total Trades,1130
