,0
Total Trades,2325
Winning Trades,1406
Losing Trades,919
Win Rate [%],60.5
Avg Trade PnL,113006.05
Avg Trade Return [%],0.44
Best Trade [%],10.34
Worst Trade [%],-7.17
Avg Win [%],1.22
Avg Loss [%],-0.76
Largest Win,9452671.68
Largest Loss,-7097402.02
Avg Duration,0 days 07:04:20
Max Consecutive Wins,18
Max Consecutive Losses,7
