,0
Total Trades,76
Winning Trades,58
Losing Trades,18
Win Rate [%],76.3
Avg Trade PnL,1823.98
Avg Trade Return [%],3.83
Best Trade [%],30.38
Worst Trade [%],-10.39
Avg Win [%],6.18
Avg Loss [%],-3.72
Largest Win,9932.45
Largest Loss,-4636.52
Avg Duration,5 days 03:28:25
Max Consecutive Wins,12
Max Consecutive Losses,4
