create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-12-25 00:05:00,BTCUSDT,92611.083,8111756437.117396,2.59410023,2.30564,2.26827446,1.021821
2025-12-25 00:10:00,BTCUSDT,92625.051,8121842409.560018,2.59196285,2.306135,2.2689314,2.152867
2025-12-25 00:15:00,BTCUSDT,92599.862,8113587618.828002,2.58560377,2.309579,2.26366423,1.737799
2025-12-25 00:20:00,BTCUSDT,92589.664,8117800012.9808,2.587758,2.310746,2.2667916,0.775192
2025-12-25 00:25:00,BTCUSDT,92595.735,8115921607.677795,2.58709629,2.310464,2.2668086,0.66209
2025-12-25 00:30:00,BTCUSDT,92587.655,8108123158.722,2.58266746,2.310529,2.26172,0.655857
2025-12-25 00:35:00,BTCUSDT,92589.295,8116146126.4625,2.578808,2.310656,2.25938748,0.828435
2025-12-25 00:40:00,BTCUSDT,92545.886,8098024153.4808,2.57587287,2.313157,2.25558576,0.536542
2025-12-25 00:45:00,BTCUSDT,92557.073,8099373230.659016,2.56881724,2.314447,2.24896169,1.086249
2025-12-25 00:50:00,BTCUSDT,92569.148,8107881736.6204,2.56555213,2.31405,2.24578334,1.111652
2025-12-25 00:55:00,BTCUSDT,92572.707,8103353175.759545,2.56286001,2.314736,2.24287587,0.399699
2025-12-25 01:00:00,BTCUSDT,92556.663,8101679081.3823,2.562024,2.315892,2.24068871,0.503369
2025-12-25 01:05:00,BTCUSDT,92534.708,8099618512.0648,2.55970011,2.316744,2.23779587,0.796977
2025-12-25 01:10:00,BTCUSDT,92538.061,8105047864.552099,2.55877551,2.317121,2.23714623,1.038749
2025-12-25 01:15:00,BTCUSDT,92543.822,8109411525.4516,2.55869259,2.317884,2.23689148,1.495967
2025-12-25 01:20:00,BTCUSDT,92527.422,8109263683.832842,2.55740988,2.317244,2.23665795,0.758556
2025-12-25 01:25:00,BTCUSDT,92525.23,8110613621.432,2.55684051,2.319893,2.23809524,2.648426
2025-12-25 01:30:00,BTCUSDT,92530.955,8112669233.499549,2.55787912,2.320848,2.23838128,1.287575
2025-12-25 01:35:00,BTCUSDT,92494.381,8098973315.298926,2.56217059,2.321961,2.24218321,0.216416
2025-12-25 01:40:00,BTCUSDT,92490.38,8100168604.08369,2.55905366,2.320971,2.23876257,0.60055
2025-12-25 01:45:00,BTCUSDT,92495.665,8111713555.10655,2.55629237,2.320258,2.23630087,2.915029
2025-12-25 01:50:00,BTCUSDT,92503.625,8110847857.196342,2.55964255,2.321402,2.23767817,1.124552
2025-12-25 01:55:00,BTCUSDT,92482.932,8105805299.538,2.56262293,2.320082,2.24009015,0.488092
2025-12-25 02:00:00,BTCUSDT,92482.951,8107786099.972899,2.56208496,2.320401,2.23914691,1.705803
2025-12-25 02:05:00,BTCUSDT,92485.038,8101066438.047821,2.56069707,2.320905,2.2373238,0.831523
2025-12-25 02:10:00,BTCUSDT,92484.64,8101099556.16,2.57366898,2.324834,2.23654489,0.894166
2025-12-25 02:15:00,BTCUSDT,92503.617,8113128351.916997,2.56879391,2.326234,2.23320308,3.213813
2025-12-25 02:20:00,BTCUSDT,92487.81,8112630739.71908,2.5716796,2.326835,2.23552651,1.297263
2025-12-25 02:25:00,BTCUSDT,92479.377,8108566506.911865,2.57185212,2.327245,2.23597134,0.68534
2025-12-25 02:30:00,BTCUSDT,92478.613,8110022941.3706,2.57243777,2.327286,2.23644078,1.069635
