,0
Total Trades,1020
Winning Trades,649
Losing Trades,371
Win Rate [%],63.6
Avg Trade PnL,2451.66
Avg Trade Return [%],0.55
Best Trade [%],10.34
Worst Trade [%],-6.23
Avg Win [%],1.28
Avg Loss [%],-0.72
Largest Win,94177.83
Largest Loss,-55173.77
Avg Duration,0 days 06:28:35
Max Consecutive Wins,19
Max Consecutive Losses,7
