,rsi_adx_atr,Buy & Hold
Start,2019-09-08 17:00:00+00:00,2019-09-08 17:00:00+00:00
End,2026-02-11 16:00:00+00:00,2026-02-11 16:00:00+00:00
Total Return [%],27460871.177863084,559.6931356418744
Annualized Return [%],601.54,34.11
Max Drawdown [%],19.46286604484082,77.24232825946648
Sharpe Ratio,5.5988945038429385,0.782752063926758
Sortino Ratio,9.557159347958212,1.09995975539101
Calmar Ratio,30.857614738069273,0.4412244277989722
Win Rate [%],42.91797627496705,
Profit Factor,2.282782370030132,
Total Trades,9863,1
Avg Winning Trade [%],0.8243169971820039,
Avg Losing Trade [%],-0.5968215531539314,
Max Drawdown Duration,44 days 17:00:00,845 days 20:00:00
Expectancy,278423.10836320545,
Alpha [%],27460311.484727442,0.0
