,0
Total Trades,1319
Winning Trades,735
Losing Trades,584
Win Rate [%],55.7
Avg Trade PnL,148.38
Avg Trade Return [%],0.23
Best Trade [%],7.31
Worst Trade [%],-5.43
Avg Win [%],1.13
Avg Loss [%],-0.9
Largest Win,8786.17
Largest Loss,-9824.36
Avg Duration,0 days 08:06:05
Max Consecutive Wins,12
Max Consecutive Losses,9
