,rsi_adx_atr_enhanced,Buy & Hold
Start,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
End,2026-02-11 07:00:00+00:00,2026-02-11 07:00:00+00:00
Total Return [%],1957.1578642327609,-47.7066092573272
Annualized Return [%],108.59,-14.58
Max Drawdown [%],22.270006365357222,76.68549186421077
Sharpe Ratio,2.6056624170565836,0.11537772376772037
Sortino Ratio,4.0864714996090585,0.1610749258446423
Calmar Ratio,4.87114864514731,-0.19003601187193891
Win Rate [%],39.67696629213483,
Profit Factor,1.5258068631933417,
Total Trades,4272,1
Avg Winning Trade [%],0.9807408168273838,
Avg Losing Trade [%],-0.788870992255334,
Max Drawdown Duration,96 days 20:00:00,791 days 20:00:00
Expectancy,45.81362041743371,
Alpha [%],2004.8644734900881,0.0
