,0
Total Trades,1190
Winning Trades,638
Losing Trades,552
Win Rate [%],53.6
Avg Trade PnL,51.2
Avg Trade Return [%],0.17
Best Trade [%],5.53
Worst Trade [%],-4.92
Avg Win [%],0.91
Avg Loss [%],-0.69
Largest Win,1888.1
Largest Loss,-1764.95
Avg Duration,0 days 10:38:04
Max Consecutive Wins,10
Max Consecutive Losses,10
