,0
Total Trades,1724
Winning Trades,1055
Losing Trades,669
Win Rate [%],61.2
Avg Trade PnL,61800.74
Avg Trade Return [%],0.56
Best Trade [%],15.59
Worst Trade [%],-9.11
Avg Win [%],1.46
Avg Loss [%],-0.87
Largest Win,4926948.25
Largest Loss,-2550944.6
Avg Duration,0 days 05:29:41
Max Consecutive Wins,18
Max Consecutive Losses,7
