,0
Total Trades,929
Winning Trades,589
Losing Trades,340
Win Rate [%],63.4
Avg Trade PnL,425.63
Avg Trade Return [%],0.41
Best Trade [%],8.92
Worst Trade [%],-5.18
Avg Win [%],1.02
Avg Loss [%],-0.66
Largest Win,9837.82
Largest Loss,-5856.67
Avg Duration,0 days 07:47:20
Max Consecutive Wins,16
Max Consecutive Losses,7
