,0
Total Trades,2298
Winning Trades,1367
Losing Trades,931
Win Rate [%],59.5
Avg Trade PnL,84968.1
Avg Trade Return [%],0.43
Best Trade [%],10.1
Worst Trade [%],-7.17
Avg Win [%],1.21
Avg Loss [%],-0.73
Largest Win,7210542.16
Largest Loss,-5121844.61
Avg Duration,0 days 07:09:25
Max Consecutive Wins,15
Max Consecutive Losses,8
