,0
Total Trades,2234
Winning Trades,1287
Losing Trades,947
Win Rate [%],57.6
Avg Trade PnL,1683.87
Avg Trade Return [%],0.26
Best Trade [%],8.92
Worst Trade [%],-5.18
Avg Win [%],0.91
Avg Loss [%],-0.62
Largest Win,107507.55
Largest Loss,-66814.01
Avg Duration,0 days 07:41:55
Max Consecutive Wins,20
Max Consecutive Losses,8
