,0
Total Trades,2492
Winning Trades,1382
Losing Trades,1110
Win Rate [%],55.5
Avg Trade PnL,550.05
Avg Trade Return [%],0.2
Best Trade [%],11.69
Worst Trade [%],-5.18
Avg Win [%],0.8
Avg Loss [%],-0.56
Largest Win,40953.89
Largest Loss,-25989.06
Avg Duration,0 days 06:39:55
Max Consecutive Wins,15
Max Consecutive Losses,10
