,0
Total Trades,2542
Winning Trades,1473
Losing Trades,1069
Win Rate [%],57.9
Avg Trade PnL,20631.11
Avg Trade Return [%],0.33
Best Trade [%],10.1
Worst Trade [%],-7.17
Avg Win [%],1.06
Avg Loss [%],-0.67
Largest Win,1936960.71
Largest Loss,-912724.8
Avg Duration,0 days 06:14:50
Max Consecutive Wins,14
Max Consecutive Losses,9
