,0
Total Trades,3203
Winning Trades,1899
Losing Trades,1304
Win Rate [%],59.3
Avg Trade PnL,857348.46
Avg Trade Return [%],0.39
Best Trade [%],13.73
Worst Trade [%],-5.18
Avg Win [%],1.14
Avg Loss [%],-0.71
Largest Win,79106165.07
Largest Loss,-46137613.72
Avg Duration,0 days 08:28:18
Max Consecutive Wins,19
Max Consecutive Losses,9
