,0
Total Trades,3451
Winning Trades,2116
Losing Trades,1335
Win Rate [%],61.3
Avg Trade PnL,172418849.17
Avg Trade Return [%],0.52
Best Trade [%],36.76
Worst Trade [%],-7.64
Avg Win [%],1.41
Avg Loss [%],-0.9
Largest Win,21406373692.79
Largest Loss,-16072666554.08
Avg Duration,0 days 07:06:10
Max Consecutive Wins,18
Max Consecutive Losses,7
