,0
Total Trades,404
Winning Trades,212
Losing Trades,192
Win Rate [%],52.5
Avg Trade PnL,3.21
Avg Trade Return [%],0.03
Best Trade [%],7.31
Worst Trade [%],-5.9
Avg Win [%],0.94
Avg Loss [%],-0.96
Largest Win,729.74
Largest Loss,-701.32
Avg Duration,0 days 09:42:37
Max Consecutive Wins,7
Max Consecutive Losses,9
