,0
Total Trades,1282
Winning Trades,802
Losing Trades,480
Win Rate [%],62.6
Avg Trade PnL,3257.8
Avg Trade Return [%],0.48
Best Trade [%],16.37
Worst Trade [%],-12.91
Avg Win [%],1.17
Avg Loss [%],-0.65
Largest Win,136884.37
Largest Loss,-53233.82
Avg Duration,0 days 05:35:53
Max Consecutive Wins,14
Max Consecutive Losses,12
