split,train_period,test_period,train_bars,test_bars,train_return,test_return,train_sharpe,test_sharpe,train_dd,test_dd
1,2022-01 → 2022-09,2022-09 → 2023-05,5993,5993,179.05087970683476,49.655878164513126,4.7098174238727495,3.456495260352569,13.491686952220109,5.327142900054414
2,2022-01 → 2023-05,2023-05 → 2024-01,11986,5993,317.61604455106243,24.57406966357834,4.08659699602911,2.687688878060918,13.491686952220109,4.606843561473135
3,2022-01 → 2024-01,2024-01 → 2024-09,17979,5993,418.39459235153555,71.44311525318346,3.6452505912769744,4.444188118588323,13.491686952220109,8.464391145461668
4,2022-01 → 2024-09,2024-09 → 2025-06,23972,5993,788.7518384315125,69.21968320831071,3.796891050977648,4.031992490752316,13.491686952220109,5.644733631238781
5,2022-01 → 2025-06,2025-06 → 2026-02,29965,5993,1403.9430455018446,73.6649442981121,3.8372630449880116,4.550270951175201,13.491686952220109,6.79248138120195
