,0
Total Trades,480
Winning Trades,301
Losing Trades,179
Win Rate [%],62.7
Avg Trade PnL,183.78
Avg Trade Return [%],0.49
Best Trade [%],7.31
Worst Trade [%],-3.66
Avg Win [%],1.18
Avg Loss [%],-0.68
Largest Win,5637.01
Largest Loss,-2203.08
Avg Duration,0 days 06:58:22
Max Consecutive Wins,9
Max Consecutive Losses,8
