oversold,min_adx,stop_loss_atr,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
30,15,1.5,790.0613406031597,2.9212731554457783,14.68332393101766,58.40130505709625,613
30,15,2.0,646.3707214884931,2.542801654090788,14.30426494732567,60.431654676258994,556
30,15,2.5,479.17752057798657,2.124213274178223,18.65781712346933,63.42412451361867,514
30,20,1.5,858.3283553869958,3.2436806911794855,14.461194529577298,62.526766595289075,467
30,20,2.0,680.7108527156931,2.78410543481299,14.220547237104514,65.5011655011655,429
30,20,2.5,541.8782714605077,2.404180410418471,17.294205973431538,68.5929648241206,398
30,25,1.5,392.8514980370371,2.6104028111776505,14.461194529577304,63.10679611650486,309
30,25,2.0,373.46090197816994,2.4780609222869474,12.020878256086547,65.7439446366782,289
30,25,2.5,264.86866978627774,1.9139888629229722,18.17308383578282,68.02973977695167,269
35,15,1.5,1028.6850589706505,3.0251973634467806,12.162080883863629,57.506702412868634,746
35,15,2.0,779.6603178990712,2.6101397086810647,16.183821683754786,59.23190546528804,677
35,15,2.5,592.1722453891994,2.2634049341332294,21.5454344876188,62.0414673046252,627
35,20,1.5,959.5785101051806,3.237266354297564,9.416870096926397,61.51079136690647,556
35,20,2.0,692.7159414021975,2.718187983993741,15.916261991840486,63.725490196078425,510
35,20,2.5,574.0921774459738,2.440247611651723,15.67582766721515,66.52542372881356,472
35,25,1.5,494.4153241522863,2.8041854916957956,9.416870096926365,63.89684813753582,349
35,25,2.0,425.03638919461014,2.583669940549508,10.90527812165803,64.7239263803681,326
35,25,2.5,325.09185635506947,2.152716964294831,16.867743209429946,66.88524590163935,305
40,15,1.5,950.5511642279213,2.6532401374298415,11.41193932422088,56.415929203539825,904
40,15,2.0,733.7723099846418,2.3037486962668106,16.332116702096624,58.62913096695227,817
40,15,2.5,442.34325670314297,1.7931051000774232,24.185443606389377,60.61007957559682,754
40,20,1.5,906.4410509159816,2.861944697568005,9.416870096926376,58.951965065502186,687
40,20,2.0,704.7980405642451,2.468409497671708,16.33211670209656,61.82108626198083,626
40,20,2.5,509.26901351882464,2.07687405586842,15.675827667215145,63.541666666666664,576
40,25,1.5,393.6843850917637,2.3576647547054224,9.416870096926399,57.98687089715536,457
40,25,2.0,347.42824430833275,2.1085411118792026,14.577084174496502,60.28708133971292,418
40,25,2.5,252.45768879920917,1.7190964454879674,16.86774320942997,62.17616580310881,386
