split,train_period,test_period,train_bars,test_bars,train_return,test_return,train_sharpe,test_sharpe,train_dd,test_dd
1,2022-01 → 2022-09,2022-09 → 2023-05,5993,5993,55.85828386241295,52.700685300700854,3.0825338610036406,4.434976199096405,17.022381431596393,4.888688089993131
2,2022-01 → 2023-05,2023-05 → 2024-01,11986,5993,137.996667555817,40.46736801665213,3.536833465648267,3.9808301918008344,17.022381431596393,4.331578903562961
3,2022-01 → 2024-01,2024-01 → 2024-09,17979,5993,234.30765488299747,41.34523237759106,3.6028757625227654,3.3349493293596084,17.022381431596393,5.884487159997695
4,2022-01 → 2024-09,2024-09 → 2025-06,23972,5993,372.5279316504476,51.97396439943675,3.5378506356030006,4.004124484758973,17.022381431596393,4.749492385165083
5,2022-01 → 2025-06,2025-06 → 2026-02,29965,5993,618.1194306238466,33.01980564416317,3.6265385767315332,3.4331600065025945,17.022381431596393,4.135563776650556
