,0
Total Trades,2084
Winning Trades,1227
Losing Trades,857
Win Rate [%],58.9
Avg Trade PnL,3587.82
Avg Trade Return [%],0.32
Best Trade [%],8.92
Worst Trade [%],-5.18
Avg Win [%],0.99
Avg Loss [%],-0.65
Largest Win,212791.52
Largest Loss,-124107.81
Avg Duration,0 days 08:25:04
Max Consecutive Wins,19
Max Consecutive Losses,9
